vessel_id,n_fragment_samples
AL_03D,988
LP_03_2,988
GU_023,988
GU_025,988
GU_033,988
GU_038,988
GU_039,988
GU_040,988
GU_046,988
GU_051,988
GU_065,988
GU_068,988
LP_07_2,988
AL_03H,988
LP_09_4,988
LP_15_1,988
MB_15,988
MB_19,988
MB_28,988
PN_10_5,988
PN_12_3,988
PN_14_3,988
PN_1_1,988
PN_20_1,988
GU_016,988
GU_012,988
GU_003,988
GI_04,988
CC_10_10,988
CC_10_12,988
CC_10_2,988
CC_10_9,988
CC_11_1,988
CC_11_4,988
CC_13_3,988
CC_14_6,988
CC_16_1,988
CC_16_3,988
CC_18_4,988
CC_21_4,988
CG_29,988
CG_31,988
EL_02_1,988
EL_02_4,988
EL_03_1,988
EL_03_3,988
ER_04,988
ER_22,988
GI_01,988
PN_21_3,988
PN_22_3,988
PN_23_1,988
PO_07,988
TO_4_1,988
TO_4_2,988
TO_4_4,988
TO_4_5,988
TO_4_7,988
TU_04,988
TU_06,988
TU_08,988
TU_102_1,988
TU_110_2,988
TU_11_5,988
TU_13,988
TU_19_1,988
TU_19_14,988
TU_19_2,988
TU_19_4,988
TU_19_9,988
TU_26_4,988
TU_29_2,988
TU_66_1,988
TU_96_2,988
PO_09,988
PO_019,988
PN_23_6,988
PO_018,988
PN_24_2,988
PN_27_4,988
PN_3_1,988
PN_40_1,988
PN_44_10,988
PN_45_11,988
PN_45_13,988
PN_56_30,988
PN_5_2,988
PN_6_2,988
PN_6_3,988
PN_71_58,988
PN_72_60,988
PN_73_61,988
PN_73_62,988
PN_79_78,988
PN_8_1,988
PN_8_2,988
PN_9_1,988
PO_010,988
PO_015,988
CC_09_1,988
CC_08_4,988
CC_08_1,988
BA_120_3,988
BA_124_2,988
BA_125_1,988
BA_137_3,988
BA_137_5,988
BA_138_3,988
BA_140_1,988
BA_147_1,988
BA_156_1,988
BA_156_2,988
BA_164_1,988
BA_169_1,988
BA_177_1,988
BA_182_1,988
BA_186_1,988
BA_187_2,988
BA_202_1,988
BA_206_7,988
BA_208_5,988
BA_209_3,988
BA_218_2,988
BA_22_1,988
BA_123_1,988
BA_11_2,988
BA_30_5,988
BA_11_1,988
AL_03I,988
AL_06B,988
AL_06G,988
AL_06I,988
AL_09A,988
AL_10A,988
AL_11C,988
AL_11E,988
AL_12D,988
AT_004,988
AT_011,988
AT_017,988
AT_026,988
BA_102_2,988
BA_104_1,988
BA_106_1,988
BA_111_4,988
BA_113_6,988
BA_115_3,988
BA_116_1,988
BA_117_1,988
BA_30_4,988
BA_33_1,988
CC_06_4,988
BA_98_2,988
BO11a_2,988
BO14_1,988
BO21_1,988
BO29_1,988
BO29_3,988
BO29_5,988
BO30_2,988
BO4_2,988
BO9_1,988
BO9_3,988
CA_4_1,988
CA_5_1,988
CC_02_1,988
CC_02_2,988
CC_02_5,988
CC_03_5,988
CC_04_4,988
CC_04_8,988
CC_05_5,988
CC_06_2,988
CC_06_3,988
BA_99_2,988
BA_93_1,988
BA_33_4,988
BA_91_3,988
BA_34_2,988
BA_36a_2,988
BA_40_2,988
BA_40_3,988
BA_44_1,988
BA_45_2,988
BA_58_1,988
BA_59_1,988
BA_59_2,988
BA_64_2,988
BA_66_4,988
BA_68_2,988
BA_69_2,988
BA_70_2,988
BA_73_1,988
BA_78_1,988
BA_79_2,988
BA_82_2,988
BA_86_3,988
BA_87bis_1,988
BA_90_1,988
TU_96_5,988
